## New papers for FB2022_06
## Generated: Thu Nov 17 10:43:29 2022
## Using datasource: production_chado
##
#FBrf_ID	PMCID
FBrf0254421	PMC9437273
FBrf0254423	PMC9545242
FBrf0254424	PMC9428826
FBrf0254425	PMC9474709
FBrf0254426	PMC9451159
FBrf0254427	PMC9458643
FBrf0254433	PMC9446084
FBrf0254435	PMC9461177
FBrf0254438	PMC9448647
FBrf0254439	PMC9462849
FBrf0254440	PMC9543601
FBrf0254441	PMC9442325
FBrf0254442	PMC9458207
FBrf0254445	PMC9470157
FBrf0254446	PMC9454453
FBrf0254447	PMC9455967
FBrf0254449	PMC9436752
FBrf0254450	PMC9544784
FBrf0254456	PMC9437309
FBrf0254457	PMC9440388
FBrf0254460	PMC9455030
FBrf0254462	PMC9459020
FBrf0254463	PMC9482335
FBrf0254464	PMC9452580
FBrf0254465	PMC9454125
FBrf0254466	PMC9456553
FBrf0254469	PMC9462789
FBrf0254470	PMC9441712
FBrf0254471	PMC9474608
FBrf0254472	PMC9499536
FBrf0254474	PMC9477402
FBrf0254475	PMC9541193
FBrf0254476	PMC9437797
FBrf0254478	PMC9467406
FBrf0254479	PMC9467403
FBrf0254483	PMC9451153
FBrf0254484	PMC9432424
FBrf0254485	PMC9499525
FBrf0254486	PMC9450179
FBrf0254488	PMC9470001
FBrf0254492	PMC9473637
FBrf0254494	PMC9473323
FBrf0254495	PMC9249821
FBrf0254496	PMC9471154
FBrf0254497	PMC9467524
FBrf0254498	PMC9479742
FBrf0254499	PMC9470885
FBrf0254500	PMC9452446
FBrf0254501	PMC9489583
FBrf0254502	PMC9473358
FBrf0254504	PMC9470587
FBrf0254505	PMC9481931
FBrf0254506	PMC9481466
FBrf0254508	PMC9544350
FBrf0254509	PMC9473612
FBrf0254510	PMC9477501
FBrf0254511	PMC9485224
FBrf0254512	PMC9474545
FBrf0254514	PMC9473583
FBrf0254515	PMC9480877
FBrf0254516	PMC9471992
FBrf0254518	PMC9481913
FBrf0254520	PMC9253850
FBrf0254521	PMC9479496
FBrf0254522	PMC9474875
FBrf0254523	PMC9477969
FBrf0254524	PMC9473618
FBrf0254526	PMC9473917
FBrf0254527	PMC9254108
FBrf0254529	PMC9243293
FBrf0254532	PMC9484684
FBrf0254535	PMC9484457
FBrf0254536	PMC9503990
FBrf0254537	PMC9508268
FBrf0254539	PMC9492728
FBrf0254543	PMC9534793
FBrf0254544	PMC9507125
FBrf0254546	PMC9508838
FBrf0254548	PMC9500252
FBrf0254549	PMC9490343
FBrf0254550	PMC9507128
FBrf0254554	PMC9507124
FBrf0254556	PMC9502369
FBrf0254559	PMC9499297
FBrf0254563	PMC9503733
FBrf0254565	PMC9499319
FBrf0254569	PMC9496580
FBrf0254570	PMC9489777
FBrf0254571	PMC9500074
FBrf0254574	PMC9491580
FBrf0254579	PMC9512784
FBrf0254580	PMC9526048
FBrf0254582	PMC9542781
FBrf0254584	PMC9536757
FBrf0254585	PMC9526073
FBrf0254586	PMC9529826
FBrf0254587	PMC9494244
FBrf0254588	PMC9529852
FBrf0254589	PMC9526066
FBrf0254592	PMC9586304
FBrf0254595	PMC9512826
FBrf0254596	PMC9543161
FBrf0254597	PMC9500001
FBrf0254599	PMC9529128
FBrf0254600	PMC9502035
FBrf0254601	PMC9521806
FBrf0254608	PMC9523557
FBrf0254610	PMC9565157
FBrf0254613	PMC9514890
FBrf0254615	PMC9524095
FBrf0254617	PMC9521571
FBrf0254620	PMC9542896
FBrf0254621	PMC9418443
FBrf0254622	PMC9519576
FBrf0254624	PMC9514664
FBrf0254626	PMC9546573
FBrf0254627	PMC9531297
FBrf0254628	PMC9515499
FBrf0254630	PMC9525679
FBrf0254631	PMC9519887
FBrf0254632	PMC9526075
FBrf0254633	PMC9531945
FBrf0254634	PMC9523645
FBrf0254635	PMC9523997
FBrf0254637	PMC9516408
FBrf0254640	PMC9526065
FBrf0254641	PMC9616736
FBrf0254642	PMC9523382
FBrf0254643	PMC9526042
FBrf0254644	PMC9519039
FBrf0254645	PMC9525292
FBrf0254646	PMC9533768
FBrf0254648	PMC9526069
FBrf0254649	PMC9471061
FBrf0254655	PMC9553170
FBrf0254656	PMC9540997
FBrf0254657	PMC9545523
FBrf0254658	PMC9575692
FBrf0254659	PMC9545526
FBrf0254660	PMC9606480
FBrf0254661	PMC9539455
FBrf0254662	PMC9544338
FBrf0254663	PMC9554661
FBrf0254664	PMC9586568
FBrf0254668	PMC9550178
FBrf0254669	PMC9558626
FBrf0254671	PMC9535798
FBrf0254672	PMC9501756
FBrf0254674	PMC9543880
FBrf0254677	PMC9534441
FBrf0254678	PMC9535449
FBrf0254679	PMC9486686
FBrf0254680	PMC9529979
FBrf0254684	PMC9586321
FBrf0254686	PMC9532510
FBrf0254687	PMC9545524
FBrf0254688	PMC9606386
FBrf0254689	PMC9536836
FBrf0254691	PMC9550224
FBrf0254693	PMC9586294
FBrf0254695	PMC9433733
FBrf0254704	PMC9576066
FBrf0254711	PMC9577102
FBrf0254712	PMC9571443
FBrf0254713	PMC9575255
FBrf0254715	PMC9555638
FBrf0254716	PMC9474972
FBrf0254717	PMC9571007
FBrf0254718	PMC9547276
FBrf0254721	PMC9557092
FBrf0254722	PMC9553006
FBrf0254723	PMC9578704
FBrf0254724	PMC9560153
FBrf0254725	PMC9558850
FBrf0254726	PMC9575256
FBrf0254729	PMC9572150
FBrf0254730	PMC9493756
FBrf0254731	PMC9576270
FBrf0254732	PMC9561050
FBrf0254733	PMC9556611
FBrf0254734	PMC9555103
FBrf0254735	PMC9581581
FBrf0254736	PMC9555809
FBrf0254737	PMC9558836
FBrf0254741	PMC9557747
FBrf0254744	PMC9566863
FBrf0254745	PMC9516225
FBrf0254746	PMC9556596
FBrf0254749	PMC9566850
FBrf0254750	PMC9557234
FBrf0254751	PMC9556925
FBrf0254752	PMC9559326
FBrf0254753	PMC9561699
FBrf0254754	PMC9559046
FBrf0254756	PMC9573261
FBrf0254757	PMC9569493
FBrf0254759	PMC9574859
FBrf0254762	PMC9552441
FBrf0254765	PMC9577387
FBrf0254768	PMC9550095
FBrf0254769	PMC9562202
